ticket_id,date_creation,date_resolution,statut,priorite,categorie,sous_categorie,sujet,description,solution_apportee,agent,satisfaction_client,temps_resolution_heures
TK-2026-0011,2026-01-13 11:30,2026-01-14 14:00,Résolu,P2,Technique,Navigateur,"Application non compatible avec Safari 15","Équipe marketing (8 utilisateurs Mac) ne peut pas accéder à l'application. Écran blanc sur Safari 15.","Vérification : Safari 15 n'est plus supporté depuis notre mise à jour v4.2 (politique de support : Safari 16+). Recommandation : mise à jour macOS vers Ventura ou Sonoma pour obtenir Safari 16+. En attendant : Chrome ou Firefox disponibles sur Mac.",Antoine Dubois,3,26.5
TK-2026-0012,2026-01-14 16:00,2026-01-14 16:30,Résolu,P3,Compte,Modification email,"Demande de changement d'adresse email principale","Client a changé de domaine email suite à une fusion d'entreprise. Souhaite mettre à jour son email de contact.","Vérification d'identité effectuée (nom, prénom, numéro de téléphone). Modification email : ancien@ancienne-societe.fr → nouveau@nouvelle-societe.fr. Confirmation envoyée aux deux adresses. Client a confirmé depuis la nouvelle adresse.",Camille Laurent,5,0.5
TK-2026-0013,2026-01-15 08:00,2026-01-15 11:00,Résolu,P2,Facturation,Remboursement,"Double facturation constatée pour décembre 2025","Client a été débité deux fois en décembre : le 1er et le 15 décembre. Montant : 2 x 79€ = 158€.","Vérification : bug de facturation du 15/12 (incident connu). Avoir de 79€ créé immédiatement. Remboursement sur carte bancaire sous 5 à 10 jours ouvrés. Email de confirmation envoyé. Incident lié au bug de migration du système de paiement.",Théo Blanc,5,3
TK-2026-0014,2026-01-16 14:00,2026-01-19 10:00,Résolu,P2,Technique,Performance,"Uploads de fichiers échouent au-delà de 50 Mo","Le client ne peut pas uploader des fichiers vidéo de formation (entre 100 et 500 Mo). Erreur : 'File too large'","Vérification : limite upload plan Pro = 50 Mo par fichier. Solutions proposées : 1) Upgrade vers plan Business (limite 500 Mo) 2) Compression des vidéos avant upload 3) Utilisation de l'intégration Google Drive. Client a choisi l'intégration Google Drive (guide envoyé).",Marie Dupont,4,68
TK-2026-0015,2026-01-20 09:30,2026-01-20 10:00,Résolu,P3,Abonnement,Facture,"Demande de facture avec numéro de TVA pour comptabilité","PME souhaite récupérer toutes ses factures 2025 avec le numéro de TVA de TechVision pour sa comptabilité annuelle.","Numéro de TVA TechVision : FR12345678901. Factures 2025 disponibles dans Admin → Facturation → Historique. Guide envoyé pour télécharger en lot. Facture récapitulative annuelle disponible sur demande (traitement sous 48h).",Thomas Martin,5,0.5
TK-2026-0016,2026-01-21 11:00,2026-01-22 15:00,Résolu,P2,Sécurité,Authentification,"Demande d'activation authentification 2 facteurs pour toute l'équipe","Responsable IT souhaite rendre le 2FA obligatoire pour les 45 comptes de son organisation.","Plan Business : 2FA obligatoire configurable au niveau organisation. Admin → Organisation → Sécurité → '2FA obligatoire' → Activer. Les utilisateurs auront 7 jours pour configurer leur 2FA avant d'être bloqués. Guide de déploiement envoyé.",Sophie Bernard,5,28
TK-2026-0017,2026-01-23 14:30,2026-01-23 15:00,Résolu,P4,Général,Formation,"Où trouver les tutoriels vidéo de formation ?","Nouveau client souhaite former son équipe à l'utilisation de la plateforme.","Ressources de formation disponibles : 1) Centre d'aide : aide.techvision.fr 2) Tutoriels vidéo : aide.techvision.fr/videos 3) Webinaires live : webinaires.techvision.fr (chaque jeudi 14h) 4) Formation personnalisée : contacter commercial@techvision.fr (inclus plan Enterprise).",Pierre Leroy,5,0.5
TK-2026-0018,2026-01-24 09:00,2026-01-24 09:30,Résolu,P3,Technique,Intégration,"Synchronisation Salesforce ne remonte pas les nouveaux contacts","L'intégration Salesforce est configurée depuis 3 mois mais les nouveaux contacts Salesforce n'apparaissent pas dans TechVision.","Diagnostic : la synchronisation est configurée en sens unique (TechVision → Salesforce). Pour la synchronisation bidirectionnelle : Admin → Intégrations → Salesforce → 'Activer sync bidirectionnelle'. La synchronisation initiale peut prendre jusqu'à 2 heures.",Julie Moreau,4,0.5
TK-2026-0019,2026-01-25 16:00,2026-01-28 10:00,Résolu,P1,Données,Corruption,"Rapports hebdomadaires affichent des données incohérentes","Les rapports générés depuis vendredi affichent des totaux erronés. Écart constaté de 30% par rapport aux données réelles.","P1 escaladé : investigation technique. Cause identifiée : bug de calcul introduit dans la version 4.2.3 du 24/01. Patch 4.2.4 déployé le 28/01. Recalcul automatique des rapports des 4 derniers jours. Client informé. Rapport corrigé envoyé manuellement.",Emma Fontaine,4,90
TK-2026-0020,2026-01-28 11:00,2026-01-28 11:30,Résolu,P3,Compte,Permissions,"Comment donner des droits administrateur à un collaborateur ?","Le directeur souhaite déléguer l'administration du compte à son assistant.","Procédure : Admin → Utilisateurs → Sélectionner l'utilisateur → 'Modifier le rôle' → Choisir 'Administrateur'. Attention : le rôle Administrateur donne accès à la facturation, aux données de tous les utilisateurs et aux paramètres de sécurité. Confirmation du directeur obtenue avant modification.",Marc Petit,5,0.5
